"Bestsellers","Sản phẩm bán chạy"
"Book selection","Chọn lọc"
"Discount:","Giảm:"
"Discount Books","Sách giảm giá"
"English Books","Sách tiếng Anh"
"Has out of stock","Hết hàng"
"New Arrivals","Sách mới"
"New Entry","Mới nhập"
"New Fearture","chức năng mới"
"PreOrder","Đặt trước"
"Products are required to inform the most","Sản phẩm được yêu cầu thông báo có hàng nhiều nhất"
"Products are required to notify the most recent","Sản phẩm được yêu cầu thông báo có hàng gần đây nhất"
"Qty request","Yêu cầu slượng"
"SaleOff Date","Ngày giảm"
"Statistical products notification requirements","Thống kê các sản phẩm yêu cầu thông báo có hàng"
"Upcoming","Sắp phát hành"
"Vietnamese Books","Sách tiếng Việt"
"VND","VNĐ"
