"%s orders have already forgotten handling : %s","có %s đơn hàng: %s"
"by adding","được tạo bởi"
"Canceled","Đã huỷ"
"Child Status","Trạng thái con"
"Complete","Hoàn thành"
"Confirm received transfer","Đã xác nhận chuyển khoản"
"Customer cancel orders","Huỷ đơn hàng"
"Customer edited orders","Sửa đơn hàng"
"Da in invoice","Đã in invoice"
"Edit","Sửa"
"have %s order cancel : %s","có %s đơn hàng: %s"
"have %s order edit : %s","có %s đơn hàng: %s"
"have %s order reported : %s","có %s đơn hàng: %s"
"Hien %s dang xu ly don hang nay.","Hiện %s đang xử lý đơn hàng này."
"For your safety, please confirm your password!","Để an toàn cho bạn, vui lòng xác nhận lại mật khẩu!"
"Password is incorrect","Mật khẩu không chính xác"
"Please press F5 to refresh and then manipulate it.","Vui lòng nhấn F5 để refresh và sau đó thao tác lại."
"Processing","Đang xử lý"
"Received","Thông báo đã nhận"
"Received transfer","Đã nhận chuyển khoản"
"remove edit","bỏ chỉnh sửa"
"Reported","Tôi đã thông báo"
"Reported receiving order","Thông báo đã nhận hàng"
"Reported receiving orders","Tôi đã nhận hàng"
"Reported receiving this orders","Thông báo tôi đã nhận được Đơn hàng này"
"Revenue Category Report","Doanh thu theo loại"
"Revenue Order Report","Doanh thu theo đơn hàng"
"Revenue Report","Báo cáo Doanh Thu"
"Shipping &amp; Handling Information","Phương thức vận chuyển"
"You are currently editing order %s, Click here to %s this order","Hiện tại bạn đang chỉnh sửa đơn hàng %s, Nhấn vào đây để %s đơn hàng này"
"You are sure to cancel this order","Bạn có chắc huỷ đơn hàng này?"
"You are sure to edit this order","Bạn có chắc chỉnh sửa đơn hàng này?"
"You forgot to process orders","Các đơn hàng đã quên xử lý"
